"","addr_state","annual_inc","int_rate","issue_d","loan_amnt"
"104","NY",135000,9.91,2011,7200
"105","TX",50000,8.9,2011,9500
"106","TX",38000,16.77,2011,18825
"107","CA",45000,10.65,2011,24000
"108","CA",80000,13.49,2011,6000
"109","AZ",50000,13.49,2011,6000
"110","LA",30000,12.42,2011,2100
"111","CT",110000,6.62,2011,5500
"112","LA",45608,6.62,2011,11000
"113","FL",120000,20.89,2011,26800
"114","IL",35000,12.69,2011,8000
"115","CA",75000,18.25,2011,10000
"116","NV",35000,11.71,2011,8000
"117","CA",24000,8.9,2011,10000
"118","OH",126000,11.71,2011,12000
"119","CA",43000,7.9,2011,10000
"120","CA",50000,9.91,2011,12000
"121","AK",67000,13.49,2011,25000
"122","OR",45000,10.65,2011,19750
"123","NY",31200,9.91,2011,10000
"124","NV",66000,12.42,2011,13650
"125","TX",52000,19.91,2011,28000
"126","CA",56964,7.9,2011,18000
"127","FL",49500,14.27,2011,2500
"128","CO",70000,20.3,2011,21000
"129","CA",125000,8.9,2011,35000
"130","NJ",33000,7.51,2011,10000
"131","VA",30000,12.69,2011,7000
"132","CA",90000,15.96,2011,24000
"133","OR",23000,7.51,2011,10625
"134","PA",24000,14.65,2011,5000
"135","MD",62000,6.62,2011,8850
"136","GA",44000,7.51,2011,6375
"137","NJ",90000,11.71,2011,6000
"138","PA",41000,6.62,2011,11100
"139","CA",56000,12.69,2011,10000
"140","WV",26500,6.03,2011,6200
"141","GA",54000,18.64,2011,15000
"142","MD",53000,11.71,2011,4200
"143","CA",52800,14.27,2011,14000
"144","GA",38000,7.51,2011,8875
"145","CA",38000,9.91,2011,13500
"146","MN",42000,9.91,2011,12000
"147","WA",55000,19.91,2011,16000
"148","GA",60000,19.42,2011,21600
"149","NJ",87000,10.65,2011,6000
"150","IL",25000,16.77,2011,8450
"151","OH",82000,13.49,2011,20000
"152","CA",60000,11.71,2011,10000
"153","GA",80000,16.29,2011,12000
"154","CA",25000,13.49,2011,13475
"155","IL",48000,12.42,2011,7200
"156","AZ",85000,14.65,2011,5600
"157","CA",57000,14.27,2011,12000
"158","MD",25000,6.03,2011,8500
"159","PA",34000,9.91,2011,8000
"160","OR",40000,12.42,2011,8000
"161","GA",42656.4,15.27,2011,16000
"162","FL",44400,17.27,2011,15000
"163","VT",30000,9.91,2011,10000
"164","NY",70000,6.62,2011,10000
"165","CA",28000,14.65,2011,8000
"166","MI",50000,9.91,2011,22000
"167","TX",94800,14.27,2011,6000
"168","FL",40000,9.91,2011,16000
"169","CA",12000,7.51,2011,2500
"170","DC",36000,9.91,2011,13500
"171","NJ",225000,12.42,2011,25000
"172","CA",45900,13.49,2011,10000
"173","WA",27200,13.49,2011,2500
"174","FL",42000,12.69,2011,7325
"175","NY",135000,12.42,2011,4000
"176","CA",65000,13.49,2011,10000
"177","IL",24000,17.27,2011,7750
"178","FL",70000,20.89,2011,20000
"179","NY",65000,12.42,2011,9600
"180","CA",60000,11.71,2011,21000
"181","CT",30000,10.65,2011,14000
"182","CA",43000,12.42,2011,13350
"183","WI",42000,16.77,2011,15000
"184","CA",75000,17.27,2011,15000
"185","CA",129000,13.49,2011,11000
"186","TX",168000,10.65,2011,35000
"187","SD",74000,10.65,2011,9000
"188","NH",52000,15.27,2011,22475
"189","IL",58500,12.69,2011,16000
"190","VA",71000,12.69,2011,13500
"191","WA",75000,12.69,2011,24000
"192","CA",60000,10.65,2011,12000
"193","NY",87996,16.77,2011,8400
"194","NC",140000,17.58,2011,28000
"195","VA",66000,6.62,2011,14000
"196","NY",70000,14.27,2011,12000
"197","RI",1e+05,11.71,2011,25000
"198","NY",50000,12.69,2011,9000
"199","OH",35000,10.65,2011,13250
"200","CA",75000,13.49,2011,20000
"201","WI",71000,14.65,2011,3000
"202","AR",48000,10.65,2011,7350
"203","FL",36000,15.27,2011,11500
"204","CA",86000,12.42,2011,13650
"205","CA",30000,16.29,2011,10500
"206","CA",60000,9.91,2011,12000
"207","OH",34000,8.9,2011,6000
"208","CA",44200,15.27,2011,11500
"209","MD",82000,12.42,2011,7000
"210","NM",83000,20.3,2011,29500
"211","TX",41000,15.27,2011,2000
"212","KS",36000,13.49,2011,11625
"213","TX",35000,14.27,2011,15075
"214","CT",30000,15.27,2011,5300
"215","PA",40000,6.62,2011,8200
"216","TX",105000,12.42,2011,12000
"217","FL",45000,14.27,2011,8650
"218","NJ",109000,17.27,2011,21000
"219","TX",50000,17.27,2011,16000
"220","CA",83000,12.42,2011,12000
"221","CA",52500,12.69,2011,9500
"222","AZ",25000,13.49,2011,7400
"223","FL",60000,13.49,2011,14400
"224","AZ",120000,23.91,2011,24250
"225","GA",68000,7.9,2011,7200
"226","NC",53000,16.77,2011,26000
"227","WA",69600,11.71,2011,7000
"228","CA",65000,7.51,2011,4000
"229","CA",144000,17.27,2011,1500
"230","NY",75000,12.42,2011,19600
"231","AZ",29000,11.71,2011,2500
"232","CA",70000,12.69,2011,10000
"233","OH",45000,6.62,2011,10000
"234","WA",55200,12.42,2011,4225
"235","CA",61440,7.9,2011,3500
"236","FL",56000,6.62,2011,12000
"237","IL",47000,8.9,2011,16500
"238","WA",55000,21.67,2011,22000
"239","KS",71000,14.65,2011,12000
"240","NY",50000,12.69,2011,15600
"241","CA",135000,12.42,2011,10800
"242","GA",63000,12.42,2011,14000
"243","NY",44000,17.58,2011,18825
"244","NM",50000,13.49,2011,6000
"245","TX",80000,9.91,2011,12000
"246","WA",45000,12.42,2011,10000
"247","NY",78000,7.9,2011,8000
"248","OR",33000,9.91,2011,14125
"249","WA",62800,12.69,2011,14000
"250","TX",26400,17.27,2011,13200
"251","NC",80000,19.03,2011,4000
"252","CO",25000,12.69,2011,4000
"253","TX",65000,6.03,2011,10500
"254","PA",59000,7.9,2011,5500
"255","CA",33000,11.71,2011,7350
"256","MO",39000,12.42,2011,10000
"257","OH",42000,7.51,2011,12000
"258","MI",38004,11.71,2011,5000
"259","OR",31000,11.71,2011,8000
"260","NC",50700,8.9,2011,4500
"261","LA",75000,12.42,2011,18000
"262","MT",30000,13.49,2011,12300
"263","GA",40000,13.49,2011,12000
"264","CA",50000,13.49,2011,10000
"265","WI",80000,7.9,2011,6000
"266","MD",40000,12.69,2011,12000
"267","CA",80000,8.9,2011,12000
"268","CA",75000,11.71,2011,7000
"269","IL",85000,18.64,2011,35000
"270","FL",28800,7.9,2011,1400
"271","NC",35000,13.49,2011,16000
"272","CA",61200,9.91,2011,3200
"273","CA",40000,7.9,2011,8000
"274","CA",25920,12.69,2011,11875
"275","NJ",54000,6.03,2011,5000
"276","MI",18000,6.62,2011,1800
"277","IL",85000,8.9,2011,35000
"278","NY",78000,8.9,2011,18000
"279","WV",45600,7.9,2011,14000
"280","TX",70000,12.42,2011,5000
"281","IL",70000,15.96,2011,8000
"282","MA",80000,6.03,2011,10000
"283","NJ",50000,7.51,2011,10000
"284","CO",35000,12.42,2011,12000
"285","MI",65000,7.9,2011,23200
"286","CT",84000,15.27,2011,18000
"287","WV",75000,15.27,2011,4800
"288","VA",35000,11.71,2011,7300
"289","FL",40000,9.91,2011,10400
"290","FL",1e+05,9.91,2011,6600
"291","NJ",40000,8.9,2011,12000
"292","NY",52000,17.27,2011,13250
"293","CA",92500,11.71,2011,12000
"294","CA",61000,9.91,2011,25000
"295","HI",36000,10.65,2011,6000
"296","CA",68000,7.51,2011,12000
"297","CA",80000,11.71,2011,14400
"298","NY",43000,12.42,2011,10000
"299","NY",150000,11.71,2011,8000
"300","NV",50000,16.29,2011,8000
"301","TX",70000,12.42,2011,30000
"302","CA",40000,16.77,2011,18000
"303","PA",35000,11.71,2011,13250
"304","CA",80000,14.27,2011,14000
"305","AK",59000,20.3,2011,20000
"306","NY",40000,16.29,2011,10000
"307","NJ",85000,20.3,2011,35000
"308","OR",55000,6.03,2011,4000
"309","CA",110000,9.91,2011,13000
"310","WI",1e+05,12.69,2011,28000
"311","MA",62000,13.49,2011,10000
"312","GA",45000,7.9,2011,20000
"313","FL",110000,9.91,2011,18000
"314","CA",60000,19.91,2011,9000
"315","NY",61500,18.64,2011,25000
"316","NY",33000,11.71,2011,10000
"317","NJ",61000,6.03,2011,4200
"318","CA",78216,15.27,2011,20000
"319","VA",62000,17.27,2011,18000
"320","GA",50964,16.29,2011,24000
"321","CO",43680,15.27,2011,4475
"322","CA",56000,14.65,2011,20000
"323","NJ",50700,12.42,2011,12000
"324","AL",60000,17.58,2011,18000
"325","SC",30000,12.42,2011,5000
"326","VA",50000,6.03,2011,3000
"327","WY",75000,19.03,2011,25000
"328","NY",90000,19.03,2011,18000
"329","RI",55000,9.91,2011,12000
"330","MA",50000,15.27,2011,20000
"331","CA",84000,13.49,2011,10000
"332","GA",155000,12.42,2011,15000
"333","MD",62000,7.9,2011,12000
"334","TX",175000,10.65,2011,20000
"335","NY",30000,11.71,2011,6300
"336","IL",50000,16.77,2011,20000
"337","MD",208000,17.27,2011,35000
"338","NY",35004,15.96,2011,8250
"339","LA",85000,12.69,2011,20000
"340","FL",32000,11.71,2011,10000
"341","FL",116400,8.9,2011,24000
"342","IL",40000,12.69,2011,14400
"343","MD",34000,14.65,2011,6000
"344","IL",73000,15.96,2011,22000
"345","MA",57200,11.71,2011,12000
"346","MO",114000,16.77,2011,16000
"347","NY",90000,10.65,2011,10000
"348","NC",54000,19.03,2011,16000
"349","KY",35000,12.69,2011,10000
"350","FL",56000,13.49,2011,3500
"351","NC",35000,9.91,2011,9600
"352","NY",40000,7.9,2011,9875
"353","MO",59000,17.58,2011,21500
"354","FL",48000,7.9,2011,4800
"355","NV",85000,6.03,2011,7800
"356","TX",70000,14.27,2011,20000
"357","HI",35000,7.51,2011,9750
"358","VA",91000,15.96,2011,18000
"359","CA",30000,6.03,2011,5000
"360","NY",45000,14.65,2011,9000
"361","FL",55000,7.9,2011,7200
"362","FL",53004,19.03,2011,3000
"363","CA",60000,19.42,2011,25000
"364","CA",82000,15.27,2011,25000
"365","CA",53000,15.96,2011,10000
"366","PA",35360,12.69,2011,8875
"367","FL",54000,11.71,2011,15550
"368","NJ",65000,15.27,2011,17000
"369","CA",65000,12.69,2011,7500
"370","CA",28800,8.9,2011,8875
"371","OH",42000,17.27,2011,4500
"372","TX",36000,12.42,2011,5800
"373","NJ",40000,11.71,2011,10000
"374","GA",50000,9.91,2011,10000
"375","CA",52000,11.71,2011,14000
"376","VA",85000,19.03,2011,25000
"377","OR",32000,8.9,2011,12000
"378","FL",75000,7.9,2011,24000
"379","NY",80000,14.27,2011,14000
"380","AZ",40246,8.9,2011,12000
"381","NJ",30000,12.69,2011,15000
"382","WA",36000,12.69,2011,8050
"383","CA",60000,10.65,2011,5600
"384","CA",31200,9.91,2011,7500
"385","MD",90000,11.71,2011,7000
"386","MO",40000,7.9,2011,5400
"387","PA",90000,12.42,2011,16000
"388","TX",105000,12.42,2011,35000
"389","KY",30084,7.9,2011,6000
"390","MI",36000,12.69,2011,4125
"391","CA",67000,16.29,2011,9800
"392","FL",63000,18.25,2011,15700
"393","FL",276000,6.62,2011,5000
"394","OH",26400,11.71,2011,9900
"395","FL",24000,11.71,2011,4000
"396","FL",68400,11.71,2011,15000
"397","WI",29120,15.96,2011,6250
"398","WI",29120,16.29,2011,6400
"399","NV",89122,13.49,2011,8850
"400","NJ",54000,15.27,2011,12000
"401","AR",30000,8.9,2011,15000
"402","WA",30000,14.27,2011,6500
"403","CT",50000,15.96,2011,8000
"404","CT",92000,21.28,2011,30000
"405","NJ",100500,14.65,2011,15000
"406","CA",40000,14.27,2011,10200
"407","FL",47000,12.42,2011,9000
"408","FL",68000,16.29,2011,6500
"409","MI",95000,21.28,2011,23000
"410","CA",39600,7.9,2011,2000
"411","CA",30000,13.49,2011,8000
"412","KY",30000,7.51,2011,8875
"413","OH",17000,18.64,2011,1500
"414","PA",42000,12.42,2011,8000
"415","CA",75000,14.65,2011,20000
"416","MA",42000,11.71,2011,6500
"417","NY",27000,13.49,2011,9600
"418","PA",130000,12.69,2011,25975
"419","WA",46000,7.9,2011,10000
"420","NC",80000,12.42,2011,15000
"421","CA",45000,6.62,2011,9000
"422","NY",72500,7.9,2011,10000
"423","NJ",18408,14.65,2011,1000
"424","TX",30000,7.9,2011,14000
"425","PA",50000,14.27,2011,8500
"426","FL",75000,19.03,2011,15000
"427","NY",65000,15.96,2011,4500
"428","TX",65000,7.51,2011,3000
"429","NJ",120000,9.91,2011,10000
"430","MO",42500,16.77,2011,21250
"431","NY",75000,13.49,2011,33425
"432","WA",195000,19.42,2011,35000
"433","TX",54990,15.27,2011,7200
"434","AZ",40000,11.71,2011,18000
"435","TX",137000,7.9,2011,23000
"436","CA",60000,16.77,2011,20000
"437","NY",30120,17.58,2011,6000
"438","VA",46000,8.9,2011,7000
"439","OH",135000,12.69,2011,21000
"440","MD",31500,7.51,2011,8250
"441","CA",65000,9.91,2011,13000
"442","TX",78000,6.62,2011,18000
"443","AZ",60000,6.03,2011,7200
"444","UT",48000,8.9,2011,16500
"445","IL",25000,7.9,2011,8125
"446","CA",82000,7.51,2011,18800
"447","CA",82000,19.03,2011,26800
"448","OK",42000,7.9,2011,19200
"449","CA",27600,17.58,2011,12875
"450","OH",38000,12.42,2011,4000
"451","CA",35000,16.29,2011,4000
"452","CA",33000,9.91,2011,12000
"453","NV",52800,11.71,2011,2625
"454","AR",40900,13.49,2011,18000
"455","PA",73882,9.91,2011,7000
"456","FL",36000,12.69,2011,11300
"457","CA",130000,9.91,2011,4000
"458","SC",57200,6.03,2011,8000
"459","RI",51871,18.25,2011,14400
"460","CA",15000,12.42,2011,4375
"461","LA",70197,7.51,2011,4100
"462","OH",47000,8.9,2011,6000
"463","AZ",43000,17.27,2011,4200
"464","NC",120000,6.62,2011,4000
"465","NJ",86004,10.65,2011,3000
"466","TX",75000,12.69,2011,5400
"467","TX",110000,16.29,2011,15000
"468","AZ",80000,18.64,2011,20000
"469","CA",44000,12.69,2011,10400
"470","WA",51600,17.58,2011,4500
"471","DC",38500,12.42,2011,11500
"472","FL",75000,6.62,2011,10000
"473","GA",37320,13.49,2011,18225
"474","NY",55000,8.9,2011,3600
"475","CA",1e+05,11.71,2011,18500
"476","CO",70000,18.25,2011,16800
"477","MT",68000,17.27,2011,10000
"478","CA",66000,18.25,2011,15000
"479","NJ",85000,11.71,2011,8000
"480","CA",83004,16.77,2011,25000
"481","AZ",51000,7.9,2011,16000
"482","CA",55000,10.65,2011,8000
"483","VA",47000,7.51,2011,7200
"484","CA",86000,7.51,2011,12000
"485","TX",48000,15.27,2011,2200
"486","NY",49000,12.69,2011,20000
"487","PA",85000,12.42,2011,28000
"488","AR",50000,7.51,2011,6000
"489","NY",105000,19.42,2011,25000
"490","NY",51204,8.9,2011,8000
"491","NY",42996,15.27,2011,14400
"492","CA",60000,19.03,2011,20000
"493","MD",85000,14.27,2011,25000
"494","NY",120000,8.9,2011,14050
"495","AL",62691,13.49,2011,6000
"496","PA",36000,11.71,2011,16100
"497","FL",85000,20.3,2011,35000
"498","CA",49668,7.9,2011,10525
"499","NJ",30000,15.96,2011,7200
"500","HI",40000,10.65,2011,18500
"501","AR",40000,13.49,2011,12000
"502","IL",1e+05,11.71,2011,12000
"503","VA",56312,11.71,2011,3000
"504","CA",54011,16.29,2011,9500
"505","CA",49110.32,12.42,2011,19775
"506","HI",75000,14.65,2011,12000
"507","WA",95000,14.27,2011,28000
"508","WI",80000,12.42,2011,30000
"509","CA",55000,10.65,2011,16000
"510","MD",90000,14.65,2011,14500
"511","VA",68500,14.65,2011,11700
"512","CA",1e+05,10.65,2011,4150
"513","AL",72000,11.71,2011,15000
"514","CA",70000,16.77,2011,24000
"515","NJ",37000,12.42,2011,21250
"516","AR",75000,14.27,2011,10000
"517","CA",75000,18.25,2011,25000
"518","NV",39000,15.96,2011,4000
"519","NY",60000,11.71,2011,15000
"520","FL",68000,13.49,2011,20000
"521","UT",110000,17.58,2011,15000
"522","NY",40000,15.96,2011,3600
"523","CA",31000,19.03,2011,6000
"524","NY",60000,15.27,2011,15000
"525","CA",43000,18.25,2011,12000
"526","MD",42000,7.51,2011,12375
"527","FL",30000,12.69,2011,4000
"528","FL",50000,10.65,2011,13000
"529","GA",39396,6.62,2011,5000
"530","CA",98000,15.96,2011,5000
"531","OK",62500,11.71,2011,26000
"532","WI",95000,18.64,2011,15000
"533","PA",45000,19.91,2011,4000
"534","CA",32400,7.9,2011,8000
"535","CO",37800,7.9,2011,1700
"536","PA",50000,9.91,2011,16000
"537","NY",114996,9.91,2011,20000
"538","WA",54400,14.65,2011,12000
"539","MD",72800,11.71,2011,7000
"540","GA",42500,20.3,2011,8000
"541","NY",61000,23.52,2011,13000
"542","NC",28000,16.29,2011,13000
"543","MN",120000,21.28,2011,20000
"544","CT",96000,13.49,2011,18000
"545","WA",83200,16.29,2011,10000
"546","MO",45000,15.27,2011,22250
"547","FL",68809,17.58,2011,24000
"548","CA",75000,12.42,2011,11200
"549","NY",52000,10.65,2011,7000
"550","CA",57600,6.03,2011,8000
"551","CA",48500,16.77,2011,22500
"552","GA",95000,17.27,2011,12000
"553","IL",58000,14.65,2011,22000
"554","AK",24000,10.65,2011,6200
"555","VA",58000,9.91,2011,15900
"556","CA",70000,8.9,2011,5000
"557","MA",104000,6.62,2011,16000
"558","CA",35000,11.71,2011,5000
"559","PA",53000,15.27,2011,3150
"560","CA",28000,14.27,2011,12000
"561","IL",118000,7.9,2011,28000
"562","FL",40000,12.42,2011,5000
"563","MN",42000,9.91,2011,3000
"564","WA",65000,7.9,2011,3000
"565","CA",25000,6.62,2011,8400
"566","CA",36000,10.65,2011,7000
"567","IL",45000,19.42,2011,18550
"568","GA",231252,9.91,2011,2000
"569","NY",65000,14.65,2011,12000
"570","FL",32000,17.58,2011,8575
"571","GA",84996,12.42,2011,28000
"572","OR",66000,7.9,2011,10000
"573","LA",92000,19.42,2011,25000
"574","CA",70000,11.71,2011,8000
"575","OH",49000,18.25,2011,16000
"576","FL",76896,11.71,2011,25000
"577","IL",24000,9.91,2011,2000
"578","TX",60000,14.65,2011,16800
"579","CA",120000,8.9,2011,8000
"580","CT",57000,12.69,2011,12000
"581","AZ",80000,7.9,2011,11000
"582","WA",85000,16.29,2011,5000
"583","TX",140000,16.29,2011,18000
"584","CA",36000,12.69,2011,10000
"585","OH",70000,9.91,2011,5000
"586","NY",51360,16.29,2011,10000
"587","CA",163000,9.91,2011,25000
"588","OR",59393,12.69,2011,2400
"589","FL",65000,16.29,2011,3000
"590","TX",29772.96,16.77,2011,7700
"591","TX",12996,13.49,2011,2400
"592","CT",68000,19.03,2011,18500
"593","CA",44475,10.65,2011,5000
"594","TX",88000,17.58,2011,14000
"595","NJ",85000,20.89,2011,24500
"596","GA",36000,10.65,2011,2400
"597","CA",117000,12.42,2011,1800
"598","CA",160000,19.42,2011,22200
"599","FL",80000,19.42,2011,21400
"600","MN",28000,7.9,2011,13000
"601","CA",48000,12.69,2011,8000
"602","MI",60000,12.69,2011,3600
"603","FL",40000,23.13,2011,12375
"604","GA",45500,9.91,2011,9400
"605","FL",156000,14.27,2011,9600
"606","PA",40000,10.65,2011,17000
"607","IL",96000,19.03,2011,25000
"608","NC",50000,16.77,2011,16950
"609","TX",80000,19.03,2011,30000
"610","NV",110000,14.27,2011,10800
"611","CA",59400,7.9,2011,6000
"612","CO",106000,8.9,2011,35000
"613","NY",36000,10.65,2011,10000
"614","NY",51000,19.91,2011,15000
"615","IL",25000,12.69,2011,5000
"616","CA",35000,17.27,2011,3000
"617","IL",33000,14.65,2011,7100
"618","CA",93000,16.77,2011,12000
"619","NY",85000,22.74,2011,22400
"620","CA",50000,10.65,2011,5825
"621","NY",41000,12.69,2011,22250
"622","CA",50000,16.77,2011,18000
"623","WI",30000,12.42,2011,6000
"624","CA",57000,11.71,2011,7650
"625","PA",110000,18.25,2011,21000
"626","CA",50132,15.27,2011,20675
"627","NC",62500,7.9,2011,13200
"628","LA",60000,7.51,2011,12000
"629","AZ",130000,19.03,2011,20000
"630","NJ",60000,6.03,2011,15000
"631","UT",65000,18.64,2011,27050
"632","SC",67735,17.27,2011,22500
"633","CA",47800,12.69,2011,20500
"634","CA",99600,12.42,2011,12800
"635","WY",54000,10.65,2011,27575
"636","NY",49000,12.69,2011,7000
"637","TX",33996,16.77,2011,7600
"638","PA",65000,12.42,2011,29000
"639","VA",44160,14.27,2011,10000
"640","TX",32000,7.9,2011,14125
"641","CA",94500,6.62,2011,12000
"642","VA",19498,6.62,2011,9575
"643","FL",30000,20.3,2011,12000
"644","NY",88000,15.96,2011,12000
"645","NJ",45000,12.69,2011,10000
"646","MA",37500,15.96,2011,10000
"647","FL",89000,14.27,2011,25000
"648","GA",120000,9.91,2011,24000
"649","NJ",35000,10.65,2011,14575
"650","MO",50000,7.51,2011,9000
"651","NY",30000,13.49,2011,10000
"652","MN",25279.67,17.58,2011,7125
"653","PA",29000,10.65,2011,15000
"654","CA",65000,13.49,2011,13000
"655","RI",30000,12.69,2011,12000
"656","NV",68000,20.3,2011,18000
"657","TX",90000,14.27,2011,30000
"658","TX",58600,17.27,2011,21600
"659","SD",50000,16.77,2011,7600
"660","CA",85000,12.42,2011,7000
"661","WI",45000,8.9,2011,7000
"662","NJ",44004,17.27,2011,3600
"663","NC",84996,12.69,2011,3500
"664","NJ",33000,8.9,2011,5000
"665","CT",60000,11.71,2011,10000
"666","MN",19200,13.49,2011,4500
"667","NJ",62000,11.71,2011,12000
"668","OH",38500,19.03,2011,12000
"669","AZ",68000,12.42,2011,10700
"670","FL",30000,10.65,2011,6000
"671","NY",50000,7.9,2011,20000
"672","TX",23000,16.77,2011,10800
"673","GA",50400,19.03,2011,25000
"674","CA",110000,14.27,2011,20000
"675","LA",40000,13.49,2011,3600
"676","NJ",83954,8.9,2011,6000
"677","KY",35000,14.27,2011,10375
"678","CA",60000,8.9,2011,25000
"679","NC",40000,16.29,2011,10000
"680","CO",42336,12.42,2011,10000
"681","NY",41100,6.03,2011,5600
"682","IL",92000,12.42,2011,6000
"683","AZ",75000,7.9,2011,8000
"684","CA",90000,12.42,2011,35000
"685","GA",45000,11.71,2011,10000
"686","FL",48000,7.51,2011,11000
"687","OR",110000,9.91,2011,5000
"688","TX",30600,10.65,2011,6500
"689","CO",69000,20.3,2011,20000
"690","CA",45000,12.69,2011,12000
"691","OR",27500,19.91,2011,8250
"692","NY",150500,7.9,2011,21000
"693","NY",32000,16.77,2011,8400
"694","MA",37500,12.69,2011,7000
"695","RI",60000,12.42,2011,12000
"696","FL",33000,11.71,2011,7200
"697","GA",70000,10.65,2011,12000
"698","FL",75000,14.27,2011,12800
"699","TX",16800,9.91,2011,3050
"700","IL",38000,14.65,2011,9000
"701","NV",35000,11.71,2011,10000
"702","PA",95000,9.91,2011,10000
"703","SD",77400,14.27,2011,10000
"704","IL",61000,16.29,2011,8500
"705","NY",70000,11.71,2011,35000
"706","MD",67000,13.49,2011,7200
"707","FL",90000,14.27,2011,21000
"708","MA",140000,9.91,2011,27000
"709","NY",55000,20.3,2011,28625
"710","WA",32400,14.27,2011,4000
"711","NY",50000,11.71,2011,7300
"712","MI",70000,8.9,2011,18000
"713","KY",35000,11.71,2011,5000
"714","NC",46212,14.27,2011,6500
"715","TX",43000,17.58,2011,14100
"716","OR",140000,19.03,2011,35000
"717","VA",115000,14.27,2011,10000
"718","AK",45000,7.9,2011,3000
"719","CA",95000,19.03,2011,25000
"720","VA",235000,15.96,2011,28000
"721","NY",36000,14.65,2011,10000
"722","CO",26000,7.9,2011,12000
"723","NY",80000,17.27,2011,10000
"724","MA",50000,8.9,2011,11000
"725","NY",55000,15.27,2011,10000
"726","MA",55000,6.62,2011,5000
"727","NY",64424,6.03,2011,5000
"728","NY",56000,8.9,2011,5000
"729","CA",30000,14.27,2011,6000
